* Ebeam         Eprime        Theta        x              Q2            W2           RC-deut       RC-carbon      RC_C/RC_D     Coulomb Cor.
  10.58900      2.160000      21.00000     0.1921000      3.038300      13.65944     0.7519978     0.7676988      1.020879      1.001000    
  10.58900      2.170000      21.00000     0.1932000      3.052400      13.62658     0.7544167     0.7700900      1.020775      1.001000    
  10.58900      2.180000      21.00000     0.1943000      3.066500      13.59371     0.7568176     0.7724496      1.020655      1.001000    
  10.58900      2.190000      21.00000     0.1954000      3.080500      13.56095     0.7591940     0.7748095      1.020568      1.001000    
  10.58900      2.200000      21.00000     0.1966000      3.094600      13.52808     0.7615703     0.7771405      1.020445      1.001000    
  10.58900      2.210000      21.00000     0.1977000      3.108700      13.49522     0.7639349     0.7794561      1.020318      1.001000    
  10.58900      2.220000      21.00000     0.1988000      3.122700      13.46245     0.7662695     0.7817557      1.020210      1.001000    
  10.58900      2.230000      21.00000     0.2000000      3.136800      13.42958     0.7685907     0.7840536      1.020119      1.001000    
  10.58900      2.240000      21.00000     0.2011000      3.150900      13.39672     0.7707669     0.7863151      1.020172      1.001000    
  10.58900      2.250000      21.00000     0.2022000      3.164900      13.36395     0.7731082     0.7885779      1.020010      1.001000    
  10.58900      2.260000      21.00000     0.2034000      3.179000      13.33109     0.7754868     0.7908179      1.019770      1.001000    
  10.58900      2.270000      21.00000     0.2045000      3.193100      13.29822     0.7777896     0.7930387      1.019606      1.001000    
  10.58900      2.280000      21.00000     0.2057000      3.207100      13.26546     0.7800879     0.7953020      1.019503      1.001000    
  10.58900      2.290000      21.00000     0.2068000      3.221200      13.23259     0.7823483     0.7974827      1.019345      1.001000    
  10.58900      2.300000      21.00000     0.2080000      3.235300      13.19973     0.7845463     0.7996735      1.019281      1.001100    
  10.58900      2.310000      21.00000     0.2091000      3.249300      13.16696     0.7867723     0.8018586      1.019175      1.001100    
  10.58900      2.320000      21.00000     0.2103000      3.263400      13.13410     0.7889982     0.8040338      1.019057      1.001100    
  10.58900      2.330000      21.00000     0.2115000      3.277500      13.10123     0.7912164     0.8061697      1.018899      1.001100    
  10.58900      2.340000      21.00000     0.2126000      3.291500      13.06846     0.7934020     0.8083150      1.018796      1.001100    
  10.58900      2.350000      21.00000     0.2138000      3.305600      13.03560     0.7955883     0.8103989      1.018616      1.001100    
  10.58900      2.360000      21.00000     0.2150000      3.319700      13.00274     0.7977628     0.8125116      1.018488      1.001100    
  10.58900      2.370000      21.00000     0.2161000      3.333700      12.96997     0.7999372     0.8146327      1.018371      1.001100    
  10.58900      2.380000      21.00000     0.2173000      3.347800      12.93710     0.8020989     0.8167071      1.018212      1.001100    
  10.58900      2.390000      21.00000     0.2185000      3.361900      12.90424     0.8042368     0.8187718      1.018073      1.001100    
  10.58900      2.400000      21.00000     0.2197000      3.375900      12.87147     0.8063914     0.8208265      1.017901      1.001100    
  10.58900      2.410000      21.00000     0.2209000      3.390000      12.83861     0.8084901     0.8228669      1.017782      1.001100    
  10.58900      2.420000      21.00000     0.2221000      3.404100      12.80574     0.8105966     0.8249177      1.017667      1.001100    
  10.58900      2.430000      21.00000     0.2232000      3.418100      12.77298     0.8126979     0.8269359      1.017519      1.001100    
  10.58900      2.440000      21.00000     0.2244000      3.432200      12.74011     0.8147615     0.8289422      1.017405      1.001100    
  10.58900      2.450000      21.00000     0.2256000      3.446300      12.70725     0.8168722     0.8309580      1.017244      1.001100    
  10.58900      2.460000      21.00000     0.2268000      3.460300      12.67448     0.8188901     0.8329394      1.017156      1.001100    
  10.58900      2.470000      21.00000     0.2280000      3.474400      12.64161     0.8209330     0.8348854      1.016996      1.001100    
  10.58900      2.480000      21.00000     0.2292000      3.488500      12.60875     0.8229792     0.8368581      1.016864      1.001100    
  10.58900      2.490000      21.00000     0.2305000      3.502500      12.57598     0.8250088     0.8388168      1.016737      1.001100    
  10.58900      2.500000      21.00000     0.2317000      3.516600      12.54312     0.8269961     0.8407385      1.016617      1.001100    
  10.58900      2.510000      21.00000     0.2329000      3.530700      12.51025     0.8286653     0.8426830      1.016916      1.001200    
  10.58900      2.520000      21.00000     0.2341000      3.544700      12.47749     0.8310881     0.8445704      1.016222      1.001200    
  10.58900      2.530000      21.00000     0.2353000      3.558800      12.44462     0.8330446     0.8464608      1.016105      1.001200    
  10.58900      2.540000      21.00000     0.2365000      3.572800      12.41186     0.8349111     0.8483118      1.016050      1.001200    
  10.58900      2.550000      21.00000     0.2378000      3.586900      12.37899     0.8368449     0.8502076      1.015968      1.001200    
  10.58900      2.560000      21.00000     0.2390000      3.601000      12.34612     0.8387930     0.8520668      1.015825      1.001200    
  10.58900      2.570000      21.00000     0.2402000      3.615000      12.31336     0.8407054     0.8539045      1.015700      1.001200    
  10.58900      2.580000      21.00000     0.2415000      3.629100      12.28049     0.8426151     0.8557239      1.015557      1.001200    
  10.58900      2.590000      21.00000     0.2427000      3.643200      12.24763     0.8445262     0.8575883      1.015467      1.001200    
  10.58900      2.600000      21.00000     0.2439000      3.657200      12.21486     0.8465711     0.8593898      1.015142      1.001200    
  10.58900      2.610000      21.00000     0.2452000      3.671300      12.18200     0.8484073     0.8611921      1.015069      1.001200    
  10.58900      2.620000      21.00000     0.2464000      3.685400      12.14913     0.8501537     0.8629742      1.015080      1.001200    
  10.58900      2.630000      21.00000     0.2477000      3.699400      12.11637     0.8520090     0.8647531      1.014958      1.001200    
  10.58900      2.640000      21.00000     0.2489000      3.713500      12.08350     0.8538237     0.8665353      1.014888      1.001200    
  10.58900      2.650000      21.00000     0.2502000      3.727600      12.05064     0.8556734     0.8682929      1.014748      1.001200    
  10.58900      2.660000      21.00000     0.2515000      3.741600      12.01787     0.8575200     0.8700253      1.014583      1.001200    
  10.58900      2.670000      21.00000     0.2527000      3.755700      11.98501     0.8593374     0.8717600      1.014456      1.001200    
  10.58900      2.680000      21.00000     0.2540000      3.769800      11.95214     0.8611381     0.8735120      1.014369      1.001300    
  10.58900      2.690000      21.00000     0.2553000      3.783800      11.91938     0.8629344     0.8752192      1.014236      1.001300    
  10.58900      2.700000      21.00000     0.2565000      3.797900      11.88651     0.8647414     0.8769246      1.014089      1.001300    
  10.58900      2.710000      21.00000     0.2578000      3.812000      11.85364     0.8665131     0.8786058      1.013956      1.001300    
  10.58900      2.720000      21.00000     0.2591000      3.826000      11.82088     0.8689147     0.8802815      1.013082      1.001300    
  10.58900      2.730000      21.00000     0.2604000      3.840100      11.78801     0.8700287     0.8819576      1.013711      1.001300    
  10.58900      2.740000      21.00000     0.2617000      3.854200      11.75515     0.8717561     0.8836051      1.013592      1.001300    
  10.58900      2.750000      21.00000     0.2630000      3.868200      11.72238     0.8735068     0.8852723      1.013469      1.001300    
  10.58900      2.760000      21.00000     0.2643000      3.882300      11.68952     0.8751534     0.8869392      1.013467      1.001300    
  10.58900      2.770000      21.00000     0.2656000      3.896400      11.65665     0.8769466     0.8885766      1.013262      1.001300    
  10.58900      2.780000      21.00000     0.2669000      3.910400      11.62389     0.8786627     0.8902335      1.013169      1.001300    
  10.58900      2.790000      21.00000     0.2682000      3.924500      11.59102     0.8803714     0.8918366      1.013023      1.001300    
  10.58900      2.800000      21.00000     0.2695000      3.938600      11.55816     0.8820580     0.8934616      1.012928      1.001300    
  10.58900      2.810000      21.00000     0.2708000      3.952600      11.52539     0.8837343     0.8950554      1.012811      1.001300    
  10.58900      2.820000      21.00000     0.2721000      3.966700      11.49253     0.8853893     0.8966684      1.012739      1.001300    
